CCC_CODE,GOVT_STAT,OSD_REMARK,CONN_STAT,TYPE,COUNT,OSD
3157101,NO,OSD   ,DD    ,C   ,1,748.03
3157101,NO,OSD   ,DD    ,C   ,1,770
3157101,NO,OSD   ,DD    ,C   ,1,789
3157101,NO,OSD   ,DD    ,C   ,1,790
3157101,NO,OSD   ,DD    ,C   ,1,822
3157101,NO,OSD   ,DD    ,C   ,1,825.94
3157101,NO,OSD   ,DD    ,C   ,1,845
3157101,NO,OSD   ,DD    ,C   ,1,854.08
3157101,NO,OSD   ,DD    ,C   ,1,867.1
3157101,NO,OSD   ,DD    ,C   ,1,872.68
3157101,NO,OSD   ,DD    ,C   ,1,885.81
3157101,NO,OSD   ,DD    ,C   ,1,901
3157101,NO,OSD   ,DD    ,C   ,1,925.75
3157101,NO,OSD   ,DD    ,C   ,1,933
3157101,NO,OSD   ,DD    ,C   ,1,947.9
3157101,NO,OSD   ,DD    ,C   ,1,976.31
3157101,NO,OSD   ,DD    ,C   ,1,984.47
3157101,NO,OSD   ,DD    ,C   ,1,987
3157101,NO,OSD   ,DD    ,C   ,1,1011
3157101,NO,OSD   ,DD    ,C   ,1,1032
3157101,NO,OSD   ,DD    ,C   ,1,1035
3157101,NO,OSD   ,DD    ,C   ,1,1041.6
3157101,NO,OSD   ,DD    ,C   ,1,1045
3157101,NO,OSD   ,DD    ,C   ,1,1046.52
3157101,NO,OSD   ,DD    ,C   ,1,1066
3157101,NO,OSD   ,DD    ,C   ,1,1143.27
3157101,NO,OSD   ,DD    ,C   ,1,1152.68
3157101,NO,OSD   ,DD    ,C   ,1,1172
3157101,NO,OSD   ,DD    ,C   ,1,1178.82
3157101,NO,OSD   ,DD    ,C   ,1,1182
3157101,NO,OSD   ,DD    ,C   ,1,1216.28
3157101,NO,OSD   ,DD    ,C   ,1,1263.76
3157101,NO,OSD   ,DD    ,C   ,1,1265.27
3157101,NO,OSD   ,DD    ,C   ,1,1303
3157101,NO,OSD   ,DD    ,C   ,1,1321.47
3157101,NO,OSD   ,DD    ,C   ,1,1322.55
3157101,NO,OSD   ,DD    ,C   ,1,1340.74
3157101,NO,OSD   ,DD    ,C   ,1,1341.5
3157101,NO,OSD   ,DD    ,C   ,1,1353.33
3157101,NO,OSD   ,DD    ,C   ,1,1376
3157101,NO,OSD   ,DD    ,C   ,1,1383.11
3157101,NO,OSD   ,DD    ,C   ,1,1390.97
3157101,NO,OSD   ,DD    ,C   ,1,1403.55
3157101,NO,OSD   ,DD    ,C   ,1,1403.93
3157101,NO,OSD   ,DD    ,C   ,1,1418
3157101,NO,OSD   ,DD    ,C   ,1,1426.19
3157101,NO,OSD   ,DD    ,C   ,1,1437.09
3157101,NO,OSD   ,DD    ,C   ,1,1451.14
3157101,NO,OSD   ,DD    ,C   ,1,1453.34
3157101,NO,OSD   ,DD    ,C   ,1,1462.75
3157101,NO,OSD   ,DD    ,C   ,1,1466.61
3157101,NO,OSD   ,DD    ,C   ,1,1508.09
3157101,NO,OSD   ,DD    ,C   ,1,1530.3
3157101,NO,OSD   ,DD    ,C   ,1,1539.93
3157101,NO,OSD   ,DD    ,C   ,1,1548.67
3157101,NO,OSD   ,DD    ,C   ,1,1566
3157101,NO,OSD   ,DD    ,C   ,1,1574.94
3157101,NO,OSD   ,DD    ,C   ,1,1600
3157101,NO,OSD   ,DD    ,C   ,1,1609.06
3157101,NO,OSD   ,DD    ,C   ,1,1610.4
3157101,NO,OSD   ,DD    ,C   ,1,1629.12
3157101,NO,OSD   ,DD    ,C   ,1,1648.67
3157101,NO,OSD   ,DD    ,C   ,1,1653.8
3157101,NO,OSD   ,DD    ,C   ,1,1660.9
3157101,NO,OSD   ,DD    ,C   ,1,1688.25
3157101,NO,OSD   ,DD    ,C   ,1,1705.25
3157101,NO,OSD   ,DD    ,C   ,1,1714.55
3157101,NO,OSD   ,DD    ,C   ,1,1727
3157101,NO,OSD   ,DD    ,C   ,1,1738.56
3157101,NO,OSD   ,DD    ,C   ,1,1740
3157101,NO,OSD   ,DD    ,C   ,1,1774.75
3157101,NO,OSD   ,DD    ,C   ,1,1786.11
3157101,NO,OSD   ,DD    ,C   ,1,1789.54
3157101,NO,OSD   ,DD    ,C   ,1,1841.97
3157101,NO,OSD   ,DD    ,C   ,1,1849.25
3157101,NO,OSD   ,DD    ,C   ,1,1852.19
3157101,NO,OSD   ,DD    ,C   ,1,1872.79
3157101,NO,OSD   ,DD    ,C   ,1,1881.41
3157101,NO,OSD   ,DD    ,C   ,1,1904.39
3157101,NO,OSD   ,DD    ,C   ,1,1926.55
3157101,NO,OSD   ,DD    ,C   ,1,1934.81
3157101,NO,OSD   ,DD    ,C   ,1,1937.87
3157101,NO,OSD   ,DD    ,C   ,1,1945.41
3157101,NO,OSD   ,DD    ,C   ,1,1966.02
3157101,NO,OSD   ,DD    ,C   ,1,1976.38
3157101,NO,OSD   ,DD    ,C   ,1,2000
3157101,NO,OSD   ,DD    ,C   ,1,2057.26
3157101,NO,OSD   ,DD    ,C   ,1,2079.99
3157101,NO,OSD   ,DD    ,C   ,1,2083.01
3157101,NO,OSD   ,DD    ,C   ,1,2107.57
3157101,NO,OSD   ,DD    ,C   ,1,2125.67
3157101,NO,OSD   ,DD    ,C   ,1,2132.78
3157101,NO,OSD   ,DD    ,C   ,1,2145.81
3157101,NO,OSD   ,DD    ,C   ,1,2156.48
3157101,NO,OSD   ,DD    ,C   ,1,2174.84
3157101,NO,OSD   ,DD    ,C   ,1,2221.92
3157101,NO,OSD   ,DD    ,C   ,1,2227.86
3157101,NO,OSD   ,DD    ,C   ,1,2238
3157101,NO,OSD   ,DD    ,C   ,1,2262.1
3157101,NO,OSD   ,DD    ,C   ,1,2268.65
3157101,NO,OSD   ,DD    ,C   ,1,2275.9
3157101,NO,OSD   ,DD    ,C   ,1,2283.23
3157101,NO,OSD   ,DD    ,C   ,1,2287.7
3157101,NO,OSD   ,DD    ,C   ,1,2293
3157101,NO,OSD   ,DD    ,C   ,1,2296.59
3157101,NO,OSD   ,DD    ,C   ,1,2301.68
3157101,NO,OSD   ,DD    ,C   ,1,2328.13
3157101,NO,OSD   ,DD    ,C   ,1,2333.35
3157101,NO,OSD   ,DD    ,C   ,1,2338.22
3157101,NO,OSD   ,DD    ,C   ,1,2350.26
3157101,NO,OSD   ,DD    ,C   ,1,2361.38
3157101,NO,OSD   ,DD    ,C   ,1,2371.16
3157101,NO,OSD   ,DD    ,C   ,1,2378.14
3157101,NO,OSD   ,DD    ,C   ,1,2390
3157101,NO,OSD   ,DD    ,C   ,1,2392.39
3157101,NO,OSD   ,DD    ,C   ,1,2395.63
3157101,NO,OSD   ,DD    ,C   ,1,2406.52
3157101,NO,OSD   ,DD    ,C   ,1,2408.97
3157101,NO,OSD   ,DD    ,C   ,1,2430.9
3157101,NO,OSD   ,DD    ,C   ,1,2443.45
3157101,NO,OSD   ,DD    ,C   ,1,2454.72
3157101,NO,OSD   ,DD    ,C   ,1,2462.63
3157101,NO,OSD   ,DD    ,C   ,1,2473.84
3157101,NO,OSD   ,DD    ,C   ,1,2476.35
3157101,NO,OSD   ,DD    ,C   ,1,2489
3157101,NO,OSD   ,DD    ,C   ,1,2504.09
3157101,NO,OSD   ,DD    ,C   ,1,2521.05
3157101,NO,OSD   ,DD    ,C   ,1,2522.95
3157101,NO,OSD   ,DD    ,C   ,1,2535.17
3157101,NO,OSD   ,DD    ,C   ,1,2557
3157101,NO,OSD   ,DD    ,C   ,1,2600.39
3157101,NO,OSD   ,DD    ,C   ,1,2614.33
3157101,NO,OSD   ,DD    ,C   ,1,2625.04
3157101,NO,OSD   ,DD    ,C   ,1,2628.09
